,create_time,summary,description,method,bug_report_url,commit_url,commit_id,pre_commit_id,is_bias
0,2013-12-04 19:43,LTW - java.lang.VerifyError: Bad return type with generics and local variables,"This code:



package com.foo.bar;

public class Test {

    abstract class X<T> {}

    class X1 extends X<Integer> {}

    class X2 extends X<String> {}

    public Test foo() {
        return this;
    }

    public <T> X<T> createMessage(int n) {
        X x;
        if (n == 0) {
            x = new X1();
        } else {
            x = new X2();
        }
        return x;
    }
}



produces:


java.lang.VerifyError: Bad return type in method com.foo.bar.Test.createMessage(I)Lcom/foo/bar/Test$X; at offset 26
	at com.betfair.marketupdates.Main.start(Main.java:18)
	at org.vertx.java.platform.Verticle.start(Verticle.java:82)
	at org.vertx.java.platform.impl.DefaultPlatformManager$19.run(DefaultPlatformManager.java:1551)
	at org.vertx.java.core.impl.DefaultContext$3.run(DefaultContext.java:176)
	at io.netty.util.concurrent.SingleThreadEventExecutor.runAllTasks(SingleThreadEventExecutor.java:354)
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:353)
	at io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:101)
	at java.lang.Thread.run(Thread.java:722)




even when the createMessage is not being weaved:



package com.foo.bar;

@Aspect
public class AspectX {
    @Before(""execution(* com.foo.bar.Test.foo())"")
    public void advice() {
        System.out.println(""Hello"");
    }
}




The problem lies in the first local variable type as can be seen by analyzing the bytecode (notice the last line):



Before:

  public <T extends java/lang/Object> com.foo.bar.Test$X<T> createMessage(int);
    flags: ACC_PUBLIC

    Code:
      stack=3, locals=3, args_size=2
         0: iload_1       
         1: ifne          16
         4: new           #2                  // class com/foo/bar/Test$X1
         7: dup           
         8: aload_0       
         9: invokespecial #3                  // Method com/foo/bar/Test$X1.""<init>"":(Lcom/foo/bar/Test;)V
        12: astore_2      
        13: goto          25
        16: new           #4                  // class com/foo/bar/Test$X2
        19: dup           
        20: aload_0       
        21: invokespecial #5                  // Method com/foo/bar/Test$X2.""<init>"":(Lcom/foo/bar/Test;)V
        24: astore_2      
        25: aload_2       
        26: areturn       
      LineNumberTable:
        line 17: 0
        line 18: 4
        line 20: 16
        line 22: 25
      LocalVariableTable:
        Start  Length  Slot  Name   Signature
              13       3     2     x   Lcom/foo/bar/Test$X;
               0      27     0  this   Lcom/foo/bar/Test;
               0      27     1     n   I
              25       2     2     x   Lcom/foo/bar/Test$X;
      StackMapTable: number_of_entries = 2
           frame_type = 16 /* same */
           frame_type = 252 /* append */
             offset_delta = 8
        locals = [ class com/foo/bar/Test$X ]




After:

  public <T extends java/lang/Object> com.foo.bar.Test$X<T> createMessage(int);
    flags: ACC_PUBLIC

    Code:
      stack=3, locals=3, args_size=2
         0: iload_1       
         1: ifne          16
         4: new           #2                  // class com/foo/bar/Test$X1
         7: dup           
         8: aload_0       
         9: invokespecial #3                  // Method com/foo/bar/Test$X1.""<init>"":(Lcom/foo/bar/Test;)V
        12: astore_2      
        13: goto          25
        16: new           #4                  // class com/foo/bar/Test$X2
        19: dup           
        20: aload_0       
        21: invokespecial #5                  // Method com/foo/bar/Test$X2.""<init>"":(Lcom/foo/bar/Test;)V
        24: astore_2      
        25: aload_2       
        26: areturn       
      LocalVariableTable:
        Start  Length  Slot  Name   Signature
              13       3     2     x   Lcom/foo/bar/Test$X;
               0      27     0  this   Lcom/foo/bar/Test;
               0      27     1     n   I
              25       2     2     x   Lcom/foo/bar/Test$X;
      LineNumberTable:
        line 17: 0
        line 18: 4
        line 20: 16
        line 22: 25
      StackMapTable: number_of_entries = 2
           frame_type = 16 /* same */
           frame_type = 252 /* append */
             offset_delta = 8
        locals = [ class java/lang/Object ]





Note: This is probably the same bug as  https://bugs.eclipse.org/bugs/show_bug.cgi?id=417041 
Note2: I'm running jdk1.7.0_17","tests#src#org#aspectj#systemtest#incremental#tools#MultiProjectIncrementalTests.java#void#testAdviceDidNotMatch_pr152589#;tests#src#org#aspectj#systemtest#AllTests17.java#Test#suite#;tests#src#org#aspectj#systemtest#incremental#tools#MultiProjectIncrementalTests.java#void#testAspectPath_pr249212_c1#;weaver#src#org#aspectj#weaver#bcel#asm#StackMapAdder.java#String#getCommonSuperClass#String,String;org.aspectj.ajdt.core#src#org#aspectj#ajdt#internal#core#builder#AjState.java#ReferenceTypeDelegate#getDelegate#ReferenceType;tests#src#org#aspectj#systemtest#incremental#tools#MultiProjectIncrementalTests.java#void#testPr148285#",https://bugs.eclipse.org/bugs/show_bug.cgi?id=423257,https://github.com/eclipse/org.aspectj/commit/dd88d21,dd88d21ef6d515bbc7034ca429d392f62101802a,7d8b14cc98a2f377c83156f099598623f4623a49,not localized
1,2013-10-23 16:00 EDT by,Support additional message insert keys in declare error/warning,It would be good to be able to insert the enclosing class name or enclosing member for a joinpoint.,"org.aspectj.matcher#src#org#aspectj#weaver#Checker.java#String#getValue#String,Shadow",https://bugs.eclipse.org/bugs/show_bug.cgi?id=420210,https://github.com/eclipse/org.aspectj/commit/9319e34,9319e343d54a65bcfc4a8c19e4305147ce9e27b8,b2cd5fa175facc39bd0d1af5a4646b9b39c8bcda,not localized
2,2013-10-11 15:20 EDT by,ajc option to change -Xlint level per-message without Xlintfile,"The -Xlintfile option is not a great fit for controlling message across multiple build projects, specifically in my case from the pluginManagement section of a maven parent pom. The problem is that you need a local file to configure the per-message output levels (ignore/warning/error) when you really want to specify it in the build script or in a shared file.

As an alternative to -Xlintfile, it would be handy to be able to change an Xlint warning level per message using command line options.

For example:

ajc -Xlint:adviceDidNotMatch=ignore

would override the XlintDefault.properties file for the adviceDidNotMatch message.

With Regards
Rob",org.aspectj.ajdt.core#src#org#aspectj#ajdt#internal#core#builder#AjBuildManager.java#void#initBcelWorld#IMessageHandler;org.aspectj.ajdt.core#src#org#aspectj#ajdt#internal#core#builder#AjBuildConfig.java#void#setLintMode#String;testing#newsrc#org#aspectj#testing#CompileSpec.java#void#setXlintfile#String,https://bugs.eclipse.org/bugs/show_bug.cgi?id=419279,https://github.com/eclipse/org.aspectj/commit/b2cd5fa,b2cd5fa175facc39bd0d1af5a4646b9b39c8bcda,f68fad1168cb96b6dd5402b4778a25e8b4d0acab,not localized
3,2013-08-16 17:51 EDT by,LTW not working when JMX is enabled,"When I enable JMX remote management on a JVM along with AspectJ load-time weaving (LTW), our Aspect doesn't appear to get woven in.

This are the JVM arguments:

-Dvisualvm.display.name=JdbcTimingAspectTest -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.port=1024 -javaagent:/jars/aspectjweaver.jar -Dorg.aspectj.weaver.loadtime.configuration=com/trgr/cobalt/infrastructure/instrumentation/aspects/timing/jdbc/jdbcmonitor.xml

Note that if I don't enable JMX remote management (by remove the -Dcom.sun.management.jmxremote.* JVM arguments), the Aspect works fine.",loadtime#src#org#aspectj#weaver#loadtime#Aj.java#WeavingAdaptor#getWeaver#ClassLoader,https://bugs.eclipse.org/bugs/show_bug.cgi?id=415266,https://github.com/eclipse/org.aspectj/commit/9e992d6,9e992d6e5e2809afdc18ee4ce4e3bc42b9883e00,2393befbdf0ef3842b838591f7af08e7d1467e34,not localized
4,2013-09-26 14:31 EDT by,Can't introduce annotation onto introduced method from trait-patterned aspect,"Created  attachment 235865   [details] 
eclipse AspectJ testcase

An aspect is introducing a field and a method.  Introducing an annotation onto the introduced field works fine; introducing an annotation onto the introduced **method** fails with the message ""The method '...' does not exist"" (where '...' is the method pattern).

Aspect follows trait pattern:

public interface Behavior { String hello(); }

=====

@Target(ElementType.TYPE)
@Retention(RetentionPolicy.RUNTIME)
public @interface Behaved {}

=====

public aspect Trait {

	public interface I extends Behavior {}
	
	declare parents: @Behaved * implements I;
	
	private String I.name = getClass().getName();
	
	public String I.hello() {
		return ""hello"" + name;
	}
}

=====

@Behaved
public class Target {
	public static aspect A {
		declare @field: * Target.name: @Tagged; // WORKY
		declare @method: * Target.hello(..): @Tagged; // NO WORKY
	}
}

=====

@Target({ ElementType.TYPE, ElementType.METHOD, ElementType.FIELD,
		ElementType.CONSTRUCTOR })
@Retention(RetentionPolicy.RUNTIME)
public @interface Tagged {}

Test eclipse AspectJ project attached.","weaver#src#org#aspectj#weaver#bcel#BcelClassWeaver.java#boolean#weaveDeclareAtField#LazyClassGen;weaver#src#org#aspectj#weaver#bcel#BcelClassWeaver.java#boolean#weaveDeclareAtMethodCtor#LazyClassGen;weaver#src#org#aspectj#weaver#bcel#BcelClassWeaver.java#boolean#weave#;weaver#src#org#aspectj#weaver#bcel#BcelClassWeaver.java#boolean#doesAlreadyHaveAnnotation#ResolvedMember,DeclareAnnotation,List<Integer>",https://bugs.eclipse.org/bugs/show_bug.cgi?id=418129,https://github.com/eclipse/org.aspectj/commit/2393bef,2393befbdf0ef3842b838591f7af08e7d1467e34,d82db7bf44e2e0d5f68798c22cd7eb373452bc54,not localized
5,2012-01-06 12:05,configure a set of classloader for which weavers should not be created in an LTW scenario,"Prototyped and tested for JspClassLoaders (see the thread 'aspectj and jsp load' on the mailing list).

That was done through a system property but it would be easier via aop.xml.  However, this would be the first time we have an aop.xml setting that affects global operation of loadtime weaving.  When any classloader actually got far enough to load the aop.xmls it would discover this setting and from that point on it would be set.  In our JspClassLoader case this would mean that either some non-JspClassLoader is run early enough to discover this setting and turn it off for all JspClassLoaders or the first JspClassLoader will discover the setting and turn it off for all other JspClassLoaders.  I think we can live with that mode of operation.","tests#src#org#aspectj#systemtest#ajc174#Ajc174Tests.java#void#testSuperItdCtor_413378#;loadtime#src#org#aspectj#weaver#loadtime#Aj.java#void#checkQ#;loadtime#src#org#aspectj#weaver#loadtime#ClassLoaderWeavingAdaptor.java#void#registerOptions#BcelWeaver,ClassLoader;loadtime#src#org#aspectj#weaver#loadtime#Options.java#WeaverOption#parse#String,ClassLoader;loadtime#src#org#aspectj#weaver#loadtime#Aj.java#byte[]#preProcess#String,byte[],ClassLoader,ProtectionDomain",https://bugs.eclipse.org/bugs/show_bug.cgi?id=368046,https://github.com/eclipse/org.aspectj/commit/0c0adc5,0c0adc560d413ad0ec2a6dcd076e3ab292d12806,704032e3aef48fb102fee301dbbe8bdfeb551689,not localized
6,2013-07-20 02:22 EDT by,A constructor added by ITD cannot invoke the method of its super class,"AspectJ Development Tools	2.2.0.e37x-RELEASE-20120704-0900





It seems *super.someMethod()* can not be correctly resolved in the
constructor added by ITD 

It can be compiled with no problem, but* at runtime, exception is raised.*


The class which I'll add a new constructor to:

public class Child extends Parent{

    public String mParent = ""John"";
    
    public Child(String parent) {
        this.mParent = parent;
    }
    
    public String getParent()
    {
        return this.mParent;
    }
}

As we can see, *Child * extends *Parent*

class Parent has a method getAge()

public class Parent {
    private String mName = ""John"";
    private int mAge = 50;
    
    public int getAge(){
        return mAge;
    }
}

If I add a new constructor for the *Child * in my aspect.

public aspect MyTest {

    public Child.new(String parent, int age) {
        this(parent);
        
        System.out.println(""Get Age:"" + super.getAge());
        System.out.println(""Child Name:"" + this.mParent);
    }
}

The above aspect code will trigger an exception.

Exception in thread ""main"" java.lang.NoSuchMethodError: com.test.Child.ajc$superDispatch$com_test_Child$getAge()I
	at MyTest.ajc$postInterConstructor$MyTest$com_test_Child(MyTest.aj:13)
	at com.test.Child.<init>(Child.java:1)
	at MainProgram.main(MainProgram.java:14)

Is this a limitation of AspectJ? Is this the only way to resolve this
issue?


I also attach the src & compiled binary files","weaver#src#org#aspectj#weaver#bcel#BcelTypeMunger.java#boolean#mungeNewConstructor#BcelClassWeaver;tests#src#org#aspectj#systemtest#AllTests17.java#Test#suite#;weaver#src#org#aspectj#weaver#bcel#BcelTypeMunger.java#void#addNeededSuperCallMethods#BcelClassWeaver,ResolvedType,Set<ResolvedMember>",https://bugs.eclipse.org/bugs/show_bug.cgi?id=413378,https://github.com/eclipse/org.aspectj/commit/302c14e,302c14ee680d5782cba619d8cc748e60afd09561,e6cb5086ad825e8df5f182aa0c5586b0b4af9d21,not localized
7,2013-05-01 15:10 EDT by,"Stack trace being printed, but want to mute it","In org.aspectj.ajdt.internal.core.builder.AjState.getDelegate(ReferenceType), there is a call to printStackTrace().  On the AJDT build server, this exception is being printed and causing some noise.  Can you replace that call with a call to the IMessageHandler for the build?",org.aspectj.ajdt.core#src#org#aspectj#ajdt#internal#core#builder#AjState.java#ReferenceTypeDelegate#getDelegate#ReferenceType,https://bugs.eclipse.org/bugs/show_bug.cgi?id=407017,https://github.com/eclipse/org.aspectj/commit/e6cb508,e6cb5086ad825e8df5f182aa0c5586b0b4af9d21,3f6e16677d20489a6390dde825608e0d2e29f5d7,fully localized
8,2013-05-22 12:10 EDT by,java.util.ConcurrentModificationException when multiple threads enter the weaver,"I am using AspectJ 1.7.1.  Occasionally I see the following exception, which I believe is related to multiple threads initializing some internal state.

java.util.ConcurrentModificationException: null
       at java.util.ArrayList$Itr.checkForComodification(Unknown Source) ~[na:1.7.0_11]
       at java.util.ArrayList$Itr.next(Unknown Source) ~[na:1.7.0_11]
       at org.aspectj.weaver.ReferenceType.findDerivativeType(ReferenceType.java:1122) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.TypeFactory.createParameterizedType(TypeFactory.java:44) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.ResolvedType.parameterize(ResolvedType.java:2479) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.ReferenceType.getDeclaredInterfaces(ReferenceType.java:673) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.ResolvedType.getDirectSupertypes(ResolvedType.java:82) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.patterns.TypePattern.matchesSubtypes(TypePattern.java:178) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.patterns.ExactTypePattern.matchesSubtypes(ExactTypePattern.java:74) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.patterns.TypePattern.matchesStatically(TypePattern.java:130) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.patterns.KindedPointcut.fastMatch(KindedPointcut.java:130) ~[aspectjweaver.jar:1.7.1]
       at org.aspectj.weaver.internal.tools.PointcutExpressionImpl.couldMatchJoinPointsInType(PointcutExpressionImpl.java:84) ~[aspectjweaver.jar:1.7.1]
       at org.springframework.aop.aspectj.AspectJExpressionPointcut.matches(AspectJExpressionPointcut.java:250) ~[spring-aop.jar:3.2.1.RELEASE]
       at org.springframework.aop.support.AopUtils.canApply(AopUtils.java:208) ~[spring-aop.jar:3.2.1.RELEASE]
       at org.springframework.aop.support.AopUtils.canApply(AopUtils.java:262) ~[spring-aop.jar:3.2.1.RELEASE]
       at org.springframework.aop.support.AopUtils.findAdvisorsThatCanApply(AopUtils.java:294) ~[spring-aop.jar:3.2.1.RELEASE]
       at org.springframework.aop.framework.autoproxy.AbstractAdvisorAutoProxyCreator.findAdvisorsThatCanApply(AbstractAdvisorAutoProxyCreator.java:118) ~[spring-aop.jar:3.2.1.RELEASE]",org.aspectj.matcher#src#org#aspectj#weaver#ReferenceType.java#ReferenceType#findDerivativeType#ResolvedType[];org.aspectj.matcher#src#org#aspectj#weaver#ReferenceType.java#void#setDelegate#ReferenceTypeDelegate;org.aspectj.matcher#src#org#aspectj#weaver#ReferenceType.java#void#checkDuplicates#ReferenceType;org.aspectj.matcher#src#org#aspectj#weaver#ReferenceType.java#void#addParent#ResolvedType,https://bugs.eclipse.org/bugs/show_bug.cgi?id=408721,https://github.com/eclipse/org.aspectj/commit/3f6e166,3f6e16677d20489a6390dde825608e0d2e29f5d7,04b948151cc8eebcf70824aaf773a7b3443b2ec2,fully localized
9,2013-03-29 00:48 EDT by,Unhandled RuntimeException,"I'm getting an unhandled RuntimeException from STS 3.2.0.RELEASE:

java.lang.RuntimeException
at org.aspectj.asm.AsmManager.sameType(AsmManager.java:897)
at org.aspectj.asm.AsmManager.removeRelationshipsTargettingThisType(AsmManager.java:711)
at org.aspectj.weaver.bcel.BcelWeaver.weave(BcelWeaver.java:1033)
at org.aspectj.ajdt.internal.compiler.AjPipeliningCompilerAdapter.weaveQueuedEntries(AjPipeliningCompilerAdapter.java:514)
at org.aspectj.ajdt.internal.compiler.AjPipeliningCompilerAdapter.queueForWeavin ... ndation-domain/src\/main\/java<com.scispike.foundation.domain.trait.persistence*PersistableAspect.aj%com.scispike.foundation.domain.trait.persistence)

Andy Clement, this can be reproduced in our private foundation repo's dev branch at commit d879446f2bfd83b51bf711d2931f4b28ce8c1901.

After clicking ok on the exception dialog, there is an error marker on the package statement with text:

Internal compiler error: java.lang.RuntimeException: Exception whilst walking up from target com.scispike.foundation.domain.trait.persistence kind=(package declaration) 
 hid=(=foundation-domain/src\/main\/java<com.scispike.foundation.domain.trait.persistence*PersistableAspect.aj%com.scispike.foundation.domain.trait.persistence) at 
 org.aspectj.asm.AsmManager.sameType(AsmManager.java:897)

If I do a Project\Clean..., the exception is not reproduced and everything compiles ok.  Next edit repros the exception.",weaver#src#org#aspectj#weaver#bcel#BcelWeaver.java#void#weaveParentTypeMungers#ResolvedType,https://bugs.eclipse.org/bugs/show_bug.cgi?id=404600,https://github.com/eclipse/org.aspectj/commit/ff0859d,ff0859d6f529a17c851dd774488ee7b0ca8391d3,eb529eb53df379baa55288cd1f78bac57dbb0a8c,fully localized
